,mean_difference,bias,std_error,bca_ci_lower,bca_ci_upper,effect_size_cohen_d,effect_size_hedges_g,wilcoxon_stat,wilcoxon_rbc,p_value,significant,channel_pair,frequency_band,channel_pair_type,bonferroni_corrected_p,fdr_corrected_p
3016,0.0004666666666666829,-3.533666666666644e-05,0.005928655167722827,-0.009699999999999933,0.013799999999999967,0.029285268118723482,0.023428214494978786,10.0,0.04761904761904767,0.9724,False,O1_PO4,beta,EEG_EEG,1.0,0.9893069157908396
3017,-0.022333333333333334,0.00010048999999999822,0.018032685049465955,-0.05896666666666669,0.012033333333333299,-0.45976699320921216,-0.36781359456736973,6.0,0.4285714285714286,0.216,False,O1_PO7,beta,EEG_EEG,1.0,0.6495111877394636
3018,0.0011666666666666347,2.5446666666666465e-05,0.008395027405185872,-0.015399999999999999,0.017199999999999938,0.051743385344077575,0.041394708275262065,10.0,-0.04761904761904767,0.8882,False,O1_PO8,beta,EEG_EEG,1.0,0.9680300722623679
3019,-0.007366666666666635,3.896000000000108e-05,0.01089470154129775,-0.02896666666666663,0.013966666666666697,-0.25551998306480495,-0.20441598645184397,7.0,0.3333333333333333,0.494,False,O1_POz,beta,EEG_EEG,1.0,0.8760656271186441
3020,9.999999999995024e-05,-7.465666666666717e-05,0.007586150249259781,-0.017866666666666666,0.013233333333333269,0.004906230364574672,0.0039249842916597374,10.0,0.04761904761904767,0.9264,False,O1_TP10,beta,EEG_EEG,1.0,0.9746279887293707
3021,-0.02173333333333335,6.0250000000004744e-05,0.01927498239352846,-0.06793333333333328,0.008633333333333265,-0.41717597128572087,-0.33374077702857674,7.0,0.3333333333333333,0.27,False,O1_TPP7h,beta,EEG_EEG,1.0,0.7063963963963964
3022,0.007966666666666648,1.296333333333441e-05,0.01386397686479404,-0.021466666666666665,0.033533333333333325,0.2134243354703615,0.1707394683762892,8.0,-0.23809523809523814,0.5506,False,O1_TPP8h,beta,EEG_EEG,1.0,0.9023373015873016
3023,0.008000000000000021,-1.0948000000001942e-05,0.00745262762663583,-0.008879999999999921,0.02063999999999998,0.4287587780256135,0.31182456583680984,4.0,-0.4666666666666666,0.282,False,O1_TTP8h,beta,EEG_EEG,1.0,0.716746191247974
3024,0.0064166666666666495,6.535500000000131e-05,0.007813332290001165,-0.00799999999999995,0.02048333333333328,0.30621672999939337,0.2449733839995147,6.0,-0.4285714285714286,0.4168,False,O2_AF3,beta,EEG_EEG,1.0,0.8313733909946578
3025,0.011400000000000016,5.658333333333383e-05,0.007512662036984252,-0.004633333333333299,0.02490000000000005,0.5741721647827142,0.4593377318261713,5.0,-0.5238095238095237,0.1334,False,O2_AF4,beta,EEG_EEG,1.0,0.5288116279069767
3026,-0.00016666666666666682,-1.5593333333333427e-05,0.005042623166915306,-0.010166666666666633,0.00953333333333335,-0.012258923533207539,-0.00980713882656603,10.0,0.04761904761904767,0.9666,False,O2_AF7,beta,EEG_EEG,1.0,0.9875819176654508
